gene	repli-seq
ATXN7L2	75.6854
ATXN7L3	79.5395
AUH	54.657
AUNIP	74.5603
AUP1	78.447
AURKA	60.0022
AURKAIP1	79.3591
AURKB	80.4061
AURKC	59.1237
AUTS2	66.7102
AVEN	72.2478
AVL9	48.5734
AVPI1	75.7235
AXDND1	60.8739
AXIN1	79.7149
AXIN2	59.0643
AXL	70.1529
AZGP1	78.708
AZI2	35.5403
AZIN1	79.3489
B2M	76.9269
B3GALNT1	41.8967
B3GALNT2	74.1905
B3GALT4	79.055
B3GALT6	79.7846
B3GAT3	78.3111
B3GNT2	79.2233
B3GNT4	76.7172
B3GNT5	67.9821
B3GNT7	79.9243
B3GNT9	80.4282
B3GNTL1	70.0657
B4GALNT1	78.9421
B4GALT1	77.14
B4GALT2	77.4251
B4GALT3	77.5147
B4GALT4	75.9702
B4GALT5	78.0154
B4GALT6	63.8241
B4GALT7	78.1195
B9D1	73.9782
B9D2	74.4951
BAALC	74.3578
BABAM1	81.0767
BACE1	75.8522
BACE2	54.0671
BACH1	74.715
BACH2	48.6792
BAD	79.0401
BAG1	77.8787
BAG2	70.6782
BAG3	76.6982
BAG4	79.4573
BAG5	79.5637
BAG6	76.8055
BAHD1	79.208
BAIAP2	74.0414
BAIAP2L1	66.4722
BAIAP3	77.9057
BAK1	78.6387
BAMBI	36.3502
BANF1	80.2513
BANK1	39.7174
BANP	74.5494
BAP1	80.756
BARD1	49.6376
BARHL1	70.6433
BARHL2	39.208
BARX1	53.6228
BARX2	42.9699
BASP1	31.1018
BATF	79.9243
BATF2	79.9
BATF3	79.7641
BAX	76.8928
BAZ1A	74.2336
BAZ1B	77.4736
BAZ2A	79.6049
BAZ2B	73.8175
BBC3	79.1017
BBIP1	77.2832
BBOX1	25.0626
BBS1	77.5898
BBS10	54.5628
BBS12	52.8339
BBS2	70.6339
BBS4	67.0775
BBS5	69.505
BBS7	62.7955
BBS9	56.9242
BBX	54.8689
BCAN	81.4326
BCAP29	65.5811
BCAP31	49.1675
BCAR1	78.0869
BCAR3	66.8229
BCAS2	59.612
BCAS3	70.2453
BCAS4	71.7762
BCAT1	78.3932
BCAT2	78.6486
BCCIP	45.3414
BCDIN3D	78.2362
BCHE	10.9321
BCKDHA	76.1965
BCKDHB	39.2831
BCKDK	76.366
BCL10	61.7162
BCL2	74.5094
BCL2A1	76.633
BCL2L1	74.46
BCL2L10	78.0234
BCL2L11	71.0135
BCL2L12	81.2658
BCL2L13	73.4862
BCL2L14	77.1293
BCL2L15	74.0373
BCL2L2	71.6355
BCL3	75.6972
BCL6	50.7221
BCL6B	75.2971
BCL7B	78.0648
BCL7C	79.0382
BCL9L	78.7821
BCLAF1	52.177
BCOR	50.859
BCORL1	50.4042
BCR	79.2079
BCS1L	78.4109
BDH1	79.0824
BDH2	69.108
BDKRB2	58.5836
BDNF	36.8714
BDP1	58.1035
BECN1	81.214
BEND3	69.576
BEND4	59.6421
BEND5	20.2333
BEND6	73.2816
BET1	55.1302
BET1L	78.2339
BEX1	26.3107
BEX2	33.6153
BEX4	32.1293
BEX5	25.3515
BFAR	75.0398
BFSP1	62.9342
BHLHA15	66.2127
BHLHE22	50.1833
BHLHE23	74.1437
BHLHE40	75.0163
BHLHE41	66.2645
BICD1	70.0323
BICD2	72.6311
BID	75.6261
BIK	75.3224
BIN1	66.7172
BIN2	78.6508
BIN3	79.7453
BIRC2	76.4508
BIRC3	76.2066
BIRC5	78.1224
BIRC6	72.2163
BIRC7	68.8489
BIVM	56.1419
BLCAP	79.0183
BLK	75.9009
BLM	78.4262
BLMH	78.8684
BLNK	77.3551
BLOC1S1	77.844
BLOC1S2	76.3077
BLOC1S3	79.8445
BLOC1S4	73.2065
BLOC1S5	62.421
BLOC1S6	63.4546
BLVRA	76.8873
BLVRB	79.8794
BLZF1	67.2366
BMF	76.8653
BMI1	58.3065
BMP1	70.6094
BMP2	27.0822
BMP2K	78.8065
BMP3	44.2992
BMP8A	79.5412
BMP8B	79.4484
BMPR1A	74.8577
BMPR2	77.5385
BMS1	43.2713
BNC2	25.2059
BNIP1	74.6118
BNIP2	75.6594
BNIP3	43.7527
BNIP3L	61.8162
BOD1	69.0687
BOD1L1	39.4959
BOLA1	69.0327
BOLA3	79.7723
BOLL	67.7612
BOP1	63.3717
BORA	31.4119
BPGM	57.9206
BPHL	73.1197
BPNT1	46.8636
BPTF	77.1982
BRAF	62.3004
BRAP	77.2252
BRAT1	79.6446
BRCA1	78.6481
BRCA2	70.0086
BRCC3	37.885
BRD2	77.6494
BRD3	70.2621
BRD4	69.5047
BRD7	76.8738
BRD8	72.9177
BRD9	57.4318
BRE	61.853
BRF1	80.3337
BRF2	75.6365
BRI3	66.5114
BRI3BP	78.2443
BRIP1	73.5924
BRIX1	47.3224
BRK1	77.6396
BRMS1	78.6408
BRMS1L	70.733
BROX	57.26
BRPF1	76.8786
BRPF3	72.8409
BRSK2	59.5202
BRWD1	64.6543
BRWD3	20.5404
BSCL2	79.2191
BSDC1	78.395
BSG	79.584
BSN	79.4135
BSPRY	74.8835
BST2	79.7397
BSX	69.9887
BTAF1	67.0832
BTBD1	67.0354
BTBD10	46.9121
BTBD19	79.5183
BTBD2	78.7658
BTBD3	17.8478
BTBD6	79.522
BTBD7	70.3303
BTBD8	60.3903
BTBD9	72.7961
BTD	80.7756
